MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87961	Agrn	agrin	4		collagen-containing extracellular matrix	is a part of lung	UniProtKB:A2ASQ1-2	HDA		J:265604 	
MGI:87961	Agrn	agrin	4		collagen-containing extracellular matrix			ISO	O00468 	J:164563 	
MGI:107189	Ahsg	alpha-2-HS-glycoprotein	16		collagen-containing extracellular matrix			ISO	RGD:2075 	J:155856 	
MGI:107189	Ahsg	alpha-2-HS-glycoprotein	16		extracellular matrix			IBA	PTN002674782 	J:265628 	
MGI:87991	Alb	albumin	5		basement membrane			ISO	RGD:2085 	J:155856 	
MGI:87983	Alpl	alkaline phosphatase, liver/bone/kidney	4		extracellular matrix	is a part of bone		IDA		J:179862 	
MGI:104655	Ambn	ameloblastin	5		extracellular matrix			TAS		J:50559 	
MGI:88002	Ambp	alpha 1 microglobulin/bikunin precursor	4		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:88005	Amelx	amelogenin, X-linked	X		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:88005	Amelx	amelogenin, X-linked	X		collagen-containing extracellular matrix			ISO	Q99217 	J:164563 	
MGI:88005	Amelx	amelogenin, X-linked	X		extracellular matrix			ISO	RGD:2107 	J:155856 	
MGI:1918671	Amtn	amelotin	5		basement membrane			IBA	PTN002198645 	J:265628 	
MGI:1918671	Amtn	amelotin	5		basement membrane			IDA		J:117472 	
MGI:1918671	Amtn	amelotin	5		basement membrane			ISO	RGD:1592356 	J:155856 	
MGI:1918671	Amtn	amelotin	5		extracellular matrix			IMP		J:106120 	
MGI:1918671	Amtn	amelotin	5		extracellular matrix			ISO	RGD:1592356 	J:155856 	
MGI:1918671	Amtn	amelotin	5		extracellular matrix			ISS	Q3HS82 	J:117472 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		basement membrane			ISO	P03950 	J:164563 	
MGI:104984	Ang2	angiogenin, ribonuclease A family, member 2	14		basement membrane			ISO	P03950 	J:164563 	
MGI:1201793	Ang3	angiogenin, ribonuclease A family, member 3	14		basement membrane			ISO	P03950 	J:164563 	
MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	14		basement membrane			ISO	P03950 	J:164563 	
MGI:3528602	Ang6	angiogenin, ribonuclease A family, member 6	14		basement membrane			ISO	P03950 	J:164563 	
MGI:108448	Angpt1	angiopoietin 1	15		collagen-containing extracellular matrix			IBA	PTN000441162 	J:265628 	
MGI:1202890	Angpt2	angiopoietin 2	8		collagen-containing extracellular matrix			IBA	PTN000441162 	J:265628 	
MGI:1336887	Angpt4	angiopoietin 4	2		collagen-containing extracellular matrix			IBA	PTN000441162 	J:265628 	
MGI:1919963	Angptl1	angiopoietin-like 1	1		collagen-containing extracellular matrix			IBA	PTN000441162 	J:265628 	
MGI:1347002	Angptl2	angiopoietin-like 2	2		collagen-containing extracellular matrix			IBA	PTN000441162 	J:265628 	
MGI:1353627	Angptl3	angiopoietin-like 3	4		collagen-containing extracellular matrix			IBA	PTN000441162 	J:265628 	
MGI:1888999	Angptl4	angiopoietin-like 4	17		collagen-containing extracellular matrix			IBA	PTN000441162 	J:265628 	
MGI:1917976	Angptl6	angiopoietin-like 6	9		collagen-containing extracellular matrix			IBA	PTN000441162 	J:265628 	
MGI:3605801	Angptl7	angiopoietin-like 7	4		collagen-containing extracellular matrix			IBA	PTN000441162 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		collagen-containing extracellular matrix	is a part of EMAPA:16728		HDA		J:265604 	
MGI:96819	Anxa1	annexin A1	19		collagen-containing extracellular matrix	is a part of EMAPA:18939		HDA		J:265604 	
MGI:96819	Anxa1	annexin A1	19		collagen-containing extracellular matrix	is a part of EMAPA:32927		HDA		J:265607 	
MGI:88246	Anxa2	annexin A2	9		basement membrane			IEA	KW-0084 	J:60000 	
MGI:88246	Anxa2	annexin A2	9		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:88246	Anxa2	annexin A2	9		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:88246	Anxa2	annexin A2	9		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1201378	Anxa3	annexin A3	5		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88030	Anxa4	annexin A4	6		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:106008	Anxa5	annexin A5	3		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:106008	Anxa5	annexin A5	3		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88255	Anxa6	annexin A6	11		collagen-containing extracellular matrix	is a part of EMAPA:16728		HDA		J:265604 	
MGI:88255	Anxa6	annexin A6	11		collagen-containing extracellular matrix	is a part of EMAPA:18939		HDA		J:265604 	
MGI:88255	Anxa6	annexin A6	11		collagen-containing extracellular matrix	is a part of EMAPA:32927		HDA		J:265607 	
MGI:88031	Anxa7	annexin A7	14		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:88031	Anxa7	annexin A7	14		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1923711	Anxa9	annexin A9	3		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:108481	Anxa11	annexin A11	14		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:108481	Anxa11	annexin A11	14		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88057	Apoe	apolipoprotein E	7		extracellular matrix			ISO	P02649 	J:164563 	
MGI:1913945	Aspn	asporin	13		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:1913945	Aspn	asporin	13		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1913945	Aspn	asporin	13		extracellular matrix			IDA		J:68846 	
MGI:1913945	Aspn	asporin	13		extracellular matrix			ISO	Q9BXN1 	J:164563 	
MGI:1341628	Atrn	attractin	2		basement membrane			IBA	PTN000832450 	J:265628 	
MGI:2147749	Atrnl1	attractin like 1	19		basement membrane			IBA	PTN000832450 	J:265628 	
