MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2672118	Col27a1	collagen, type XXVII, alpha 1	4		fibrillar collagen trimer	is a part of cartilage|is a part of rib		IDA		J:121268 	
MGI:2685312	Col28a1	collagen, type XXVIII, alpha 1	6		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:3606482	Colec10	collectin sub-family member 10	15		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1918943	Colec11	collectin sub-family member 11	12		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2152907	Colec12	collectin sub-family member 12	18		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1338761	Colq	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	14		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1915838	Cthrc1	collagen triple helix repeat containing 1	15		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:94872	Dcn	decorin	10		collagen type VI trimer			ISO	RGD:61895 	J:155856 	
MGI:1195272	Eda	ectodysplasin-A	X		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2155091	Emid1	EMI domain containing 1	11		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1926189	Emilin1	elastin microfibril interfacer 1	5		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2389136	Emilin2	elastin microfibril interfacer 2	17		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1340905	Fcna	ficolin A	2		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1341158	Fcnb	ficolin B	2		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2388361	Gldn	gliomedin	9		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:96817	Lox	lysyl oxidase	18		collagen trimer			IDA		J:17962 	
MGI:109347	Lum	lumican	10		fibrillar collagen trimer			ISO	P51884 	J:164563 	
MGI:1309998	Marco	macrophage receptor with collagenous structure	1		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:96923	Mbl1	mannose-binding lectin (protein A) 1	14		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:96924	Mbl2	mannose-binding lectin (protein C) 2	19		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:98257	Msr1	macrophage scavenger receptor 1	8		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2685260	Otol1	otolin 1	3		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2685260	Otol1	otolin 1	3		collagen type IV trimer			IBA	PTN002770666 	J:265628 	
MGI:2444418	Scara3	scavenger receptor class A, member 3	14		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:109515	Sftpd	surfactant associated protein D	14		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1921570	Wdr33	WD repeat domain 33	18		collagen trimer			IEA	KW-0176 	J:60000 	

